Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2025-05-21,125.16,127.11,119.41,120.58,80657700.0,125.59,126.33,129.52,7.7,3.55,3.45,3.57,4.58,1.63,-1.615,-0.29,61265300.0,72503900.0,57003700.0,126.482,125.949,122.861,-0.040709155624139154,0
2025-05-22,121.95,126.33,121.375,122.29,75498300.0,120.58,125.59,126.33,4.955,7.7,3.55,3.45,-0.34,4.58,1.63,-1.615,80657700.0,61265300.0,72503900.0,123.531,124.377,122.498,0.014081832441152688,1
2025-05-23,120.88,125.54,120.68,123.31,65905800.0,122.29,120.58,125.59,4.86,4.955,7.7,3.55,-2.43,-0.34,4.58,1.63,75498300.0,80657700.0,61265300.0,122.91,123.765,122.465,0.008306209395702265,1
2025-05-27,126.82,127.88,120.88,123.39,86455200.0,123.31,122.29,120.58,7.0,4.86,4.955,7.7,3.43,-2.43,-0.34,4.58,65905800.0,75498300.0,80657700.0,123.11,123.632,122.599,0.0006485758804113176,1
2025-05-28,124.23,125.65,122.91,123.76,64866000.0,123.39,123.31,122.29,2.74,7.0,4.86,4.955,0.47,3.43,-2.43,-0.34,86455200.0,65905800.0,75498300.0,123.25,123.561,122.725,0.002994157561965548,1
2025-05-29,125.35,126.47,121.53,122.32,62929100.0,123.76,123.39,123.31,4.94,2.74,7.0,4.86,3.03,0.47,3.43,-2.43,64866000.0,86455200.0,65905800.0,123.505,123.619,122.89,-0.01170366439997412,0
2025-05-30,123.53,131.94,122.75,131.78,185897600.0,122.32,123.76,123.39,9.19,4.94,2.74,7.0,-8.25,3.03,0.47,3.43,62929100.0,64866000.0,86455200.0,122.913,123.239,122.799,0.07449329709657414,1
2025-06-02,131.435,134.48,128.86,132.04,93218700.0,131.78,122.32,123.76,5.62,9.19,4.94,2.74,-0.605,-8.25,3.03,0.47,185897600.0,62929100.0,64866000.0,127.346,125.74,124.228,0.0019709999152847445,1
2025-06-03,133.07,135.28,130.1,133.17,91297700.0,132.04,131.78,122.32,5.18,5.62,9.19,4.94,-0.1,-0.605,-8.25,3.03,93218700.0,185897600.0,62929100.0,129.693,127.586,125.471,0.008521637626530814,1
2025-06-04,132.8,132.95,125.58,130.01,97306300.0,133.17,132.04,131.78,7.37,5.18,5.62,9.19,2.79,-0.1,-0.605,-8.25,91297700.0,93218700.0,185897600.0,131.432,129.221,126.696,-0.024015165442081442,0
2025-06-05,129.27,132.85,118.93,119.91,131055900.0,130.01,133.17,132.04,13.92,7.37,5.18,5.62,9.36,2.79,-0.1,-0.605,97306300.0,91297700.0,93218700.0,130.721,129.452,127.223,-0.0808698363903935,0
2025-06-06,123.73,128.13,121.92,127.72,87175100.0,119.91,130.01,133.17,6.21,13.92,7.37,5.18,-3.99,9.36,2.79,-0.1,131055900.0,97306300.0,91297700.0,125.315,126.657,126.06,0.0630988854724069,1
2025-06-09,127.075,132.23,124.8,132.06,74785600.0,127.72,119.91,130.01,7.43,6.21,13.92,7.37,-4.985,-3.99,9.36,2.79,87175100.0,131055900.0,97306300.0,126.518,126.969,126.324,0.03341596887509475,1
2025-06-10,131.02,134.07,129.41,132.81,69308900.0,132.06,127.72,119.91,4.66,7.43,6.21,13.92,-1.79,-4.985,-3.99,9.36,74785600.0,87175100.0,131055900.0,129.289,128.46,127.236,0.005663170750133733,1
2025-06-11,133.92,140.0,132.99,136.39,97366000.0,132.81,132.06,127.72,7.01,4.66,7.43,6.21,-2.47,-1.79,-4.985,-3.99,69308900.0,74785600.0,87175100.0,131.049,129.734,128.123,0.026598907434277175,1
2025-06-12,136.4,137.1,134.63,135.19,56248200.0,136.39,132.81,132.06,2.47,7.01,4.66,7.43,1.21,-2.47,-1.79,-4.985,97366000.0,69308900.0,74785600.0,133.72,131.683,129.439,-0.008837210028349383,0
2025-06-13,133.815,139.99,133.35,137.4,93519000.0,135.19,136.39,132.81,6.64,2.47,7.01,4.66,-3.585,1.21,-2.47,-1.79,56248200.0,97366000.0,69308900.0,134.455,132.711,130.354,0.016215120931348755,1
2025-06-16,140.03,144.86,139.812,141.41,80779800.0,137.4,135.19,136.39,5.048,6.64,2.47,7.01,-1.38,-3.585,1.21,-2.47,93519000.0,56248200.0,97366000.0,135.927,134.084,131.475,0.028767162850051087,1
2025-06-17,141.485,141.69,136.08,138.2,70479100.0,141.41,137.4,135.19,5.61,5.048,6.64,2.47,3.285,-1.38,-3.585,1.21,80779800.0,93519000.0,56248200.0,138.669,136.23,133.055,-0.022961608965402724,0
2025-06-18,139.04,140.36,137.49,139.96,58260200.0,138.2,141.41,137.4,2.87,5.61,5.048,6.64,-0.92,3.285,-1.38,-3.585,70479100.0,80779800.0,93519000.0,138.434,136.807,133.874,0.012654826218000525,1
2025-06-20,140.69,142.24,136.742,137.3,87067000.0,139.96,138.2,141.41,5.498,2.87,5.61,5.048,3.39,-0.92,3.285,-1.38,58260200.0,70479100.0,80779800.0,139.197,137.73,134.842,-0.0191883804685285,0
2025-06-23,138.9,142.15,135.96,139.92,70501100.0,137.3,139.96,138.2,6.19,5.498,2.87,5.61,-1.02,3.39,-0.92,3.285,87067000.0,58260200.0,70479100.0,138.249,137.604,135.233,0.018902482623049145,1
2025-06-24,140.98,143.66,137.8,143.23,58574200.0,139.92,137.3,139.96,5.86,6.19,5.498,2.87,-2.25,-1.02,3.39,-0.92,70501100.0,87067000.0,58260200.0,139.084,138.283,135.979,0.023380882338494877,1
2025-06-25,144.49,147.67,141.53,142.9,61435300.0,143.23,139.92,137.3,6.14,5.86,6.19,5.498,1.59,-2.25,-1.02,3.39,58574200.0,70501100.0,87067000.0,141.157,139.732,137.133,-0.0023066577383764712,0
2025-06-26,144.85,148.215,142.91,144.25,69440500.0,142.9,143.23,139.92,5.305,6.14,5.86,6.19,0.6,1.59,-2.25,-1.02,61435300.0,58574200.0,70501100.0,142.029,140.66,138.05,0.009402863164183905,1
2025-06-27,144.87,144.97,130.54,130.74,202598600.0,144.25,142.9,143.23,14.43,5.305,6.14,5.86,14.13,0.6,1.59,-2.25,69440500.0,61435300.0,58574200.0,143.139,141.711,139.037,-0.09833724518768579,0
2025-06-30,137.79,138.875,134.8,136.32,97305600.0,130.74,144.25,142.9,4.075,14.43,5.305,6.14,1.47,14.13,0.6,1.59,202598600.0,69440500.0,61435300.0,136.94,138.498,137.717,0.04179445660861148,1
